"window","source_version","source_file","segment","source_step","source_event_indices","batch_ids","channel","unit","command_start","command_end","command_delta","fast_start_s","fast_end_s","servo_rate_deg_s","servo_duration_s","wheel_active_duration_s","wheel_velocity_rad_s","wheel_integral_rad","active_channels","held_channels","simultaneous_servo_and_wheel","evidence_level","timing_scope"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","rear_left_ankle","rad/s",0,0,0,0.22266666666666668,0.2506666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",3,1,"[3]","[]","rear_right_ankle","rad/s",0,0,0,0.22266666666666668,0.2506666666666667,,,0,0,0,"rear_left_hip","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","front_left_hip","deg",0,0,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","front_left_knee","deg",0,0,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","front_right_hip","deg",0,0,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","front_right_knee","deg",0,0,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","rear_left_hip","deg",37.6,37.6,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","rear_left_knee","deg",0,0,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","rear_right_hip","deg",0,0,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","rear_right_knee","deg",0,0,0,0.2506666666666667,13.183999999811796,150,0,,,,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","front_left_ankle","rad/s",0,0.3,0.3,0.2506666666666667,13.183999999811796,,,12.933333333145129,0.3,3.8799999999435384,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","front_right_ankle","rad/s",0,0.3,0.3,0.2506666666666667,13.183999999811796,,,12.933333333145129,0.3,3.8799999999435384,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","rear_left_ankle","rad/s",0,0.3,0.3,0.2506666666666667,13.183999999811796,,,12.933333333145129,0.3,3.8799999999435384,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",4,2,"[0]","[]","rear_right_ankle","rad/s",0,0.3,0.3,0.2506666666666667,13.183999999811796,,,12.933333333145129,0.3,3.8799999999435384,"front_left_ankle|front_right_ankle|rear_left_ankle|rear_right_ankle","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","front_left_hip","deg",0,0,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","front_left_knee","deg",0,0,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","front_right_hip","deg",0,0,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","front_right_knee","deg",0,0,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","rear_left_hip","deg",37.6,37.6,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","rear_left_knee","deg",0,0,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","rear_right_hip","deg",0,0,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","rear_right_knee","deg",0,0,0,13.183999999811796,13.183999999811796,150,0,,,,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","front_left_ankle","rad/s",0.3,0,-0.3,13.183999999811796,13.183999999811796,,,0,0,0,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","front_right_ankle","rad/s",0.3,0,-0.3,13.183999999811796,13.183999999811796,,,0,0,0,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
"FR_initial_preparation_through_contact_establishment_handoff","v010_20260806_220745_363972_manual","C:\robotics_sim\wlr_robot\height_based_obstacle_replay\saved_height_steps_fsm_reference_v2\height_050mm\versions\v010_20260806_220745_363972_manual\accepted_steps.jsonl",5,2,"[1]","[]","rear_left_ankle","rad/s",0.3,0,-0.3,13.183999999811796,13.183999999811796,,,0,0,0,"","front_left_hip|front_left_knee|front_right_hip|front_right_knee|rear_left_hip|rear_left_knee|rear_right_hip|rear_right_knee","false","COMMAND_OBSERVED","offline mature Fast planner; not newly observed physical dispatch; recorded snapshot sim clock kept separate"
